record,created_date,unique_key,agency_name,description,street_name,resolution_description,community_board,latitude,longitude
86,38546924,2018-02-25T16:37:09.000,DOT,Department of Transportation,Pothole,3 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 MANHATTAN,40.730630124236434,-73.98910350855296
87,38546925,2018-02-25T16:36:13.000,DOT,Department of Transportation,Pothole,EAST   94 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,17 BROOKLYN,40.649529684584564,-73.91132315215607
88,38548055,2018-02-25T16:33:21.000,DOT,Department of Transportation,Pothole,BROADWAY,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,12 MANHATTAN,40.84823105995749,-73.9377548855087
89,38549142,2018-02-25T16:30:31.000,DOT,Department of Transportation,Pothole,GATEWAY DRIVE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 BROOKLYN,40.65001802602888,-73.87055684858957
90,38546490,2018-02-25T16:26:29.000,DOT,Department of Transportation,Pothole,61 STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,05 QUEENS,40.720517182827706,-73.90378990299477
91,38546472,2018-02-25T16:20:26.000,DOT,Department of Transportation,Pothole,39 STREET,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12 BROOKLYN,40.63998362668875,-73.9852448619331
92,38546945,2018-02-25T16:19:18.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,06 QUEENS,40.72363398382972,-73.84482058666207
93,38547483,2018-02-25T16:17:09.000,DOT,Department of Transportation,Pothole,LACOMBE AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,09 BRONX,40.816428420529746,-73.85117583591581
94,38545804,2018-02-25T16:14:02.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,10 MANHATTAN,40.8039585014001,-73.94827133391395
95,38549656,2018-02-25T16:03:54.000,DOT,Department of Transportation,Pothole,SUMNER PLACE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04 BROOKLYN,40.70040396143807,-73.94104857376509
96,38545798,2018-02-25T16:03:30.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 BROOKLYN,40.671536273681525,-73.95765669143151
97,38546946,2018-02-25T16:01:29.000,DOT,Department of Transportation,Pothole,NORTHERN BOULEVARD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,07 QUEENS,40.76282672371461,-73.8053095892388
98,38547494,2018-02-25T16:01:23.000,DOT,Department of Transportation,Pothole,EAST   17 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,14 BROOKLYN,40.64551221057018,-73.96331990259071
99,38546479,2018-02-25T15:57:02.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,07 QUEENS,40.76505709025,-73.81292013433753
