record,created_date,unique_key,agency_name,description,street_name,resolution_description,community_board,latitude,longitude
85,38617433,2018-03-05T17:09:11.000,DOT,Department of Transportation,Pothole,MADISON AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,11 MANHATTAN,40.80477313254263,-73.94138236988273
86,38613523,2018-03-05T17:09:10.000,DOT,Department of Transportation,Pothole,44 AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,04 QUEENS,40.744592892443876,-73.86907751315543
87,38613540,2018-03-05T17:08:25.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,05 BROOKLYN,40.681566106655815,-73.89431326931438
88,38614524,2018-03-05T17:05:33.000,DOT,Department of Transportation,Pothole,KINGS HIGHWAY,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,18 BROOKLYN,40.62055814578522,-73.94072645817215
89,38612516,2018-03-05T17:04:55.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 BROOKLYN,40.73328035699044,-73.95212930179842
90,38616081,2018-03-05T17:02:13.000,DOT,Department of Transportation,Pothole,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,07 BROOKLYN,40.65094971403368,-74.00791754981823
91,38617387,2018-03-05T16:59:41.000,DOT,Department of Transportation,Pothole,TOWNSEND AVENUE,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 STATEN ISLAND,40.61918775118269,-74.07468205211069
92,38612517,2018-03-05T16:59:00.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,07 BROOKLYN,40.64230590075707,-74.01323144141611
93,38611504,2018-03-05T16:58:07.000,DOT,Department of Transportation,Pothole,77 ROAD,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 QUEENS,40.72373863094999,-73.8036884544666
94,38617389,2018-03-05T16:57:07.000,DOT,Department of Transportation,Pothole,164 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 QUEENS,40.726299006578806,-73.80501582927346
95,38614494,2018-03-05T16:56:04.000,DOT,Department of Transportation,Pothole,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,07 BROOKLYN,40.652069659713156,-74.00675003174528
96,38611520,2018-03-05T16:55:34.000,DOT,Department of Transportation,Pothole,DRIGGS STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 STATEN ISLAND,40.54306389091311,-74.14781598188611
97,38615524,2018-03-05T16:54:22.000,DOT,Department of Transportation,Pothole,DELANCEY STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03 MANHATTAN,40.72021136735016,-73.99366154220466
98,38616475,2018-03-05T16:54:13.000,DOT,Department of Transportation,Pothole,28 STREET,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,01 QUEENS,40.772788171454344,-73.9179285143526
99,38613550,2018-03-05T16:53:03.000,DOT,Department of Transportation,Pothole,AVENUE N,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,14 BROOKLYN,40.615423164362944,-73.96127976111981
